JOURNAL NAME,ISSN NO,PUBLISHER,OPEN ACCESS,SUBSCRIPTION,COUNTRY,AIM & SCOPE,HYBRID MODE,PAYMENT TYPE,SUM OF USD,SUM OF INDIAN RS,PUBLICATION DURATION DAYS,IMPACT FACTOR,SCOPUS Q1,SCOPUS Q2,SCOPUS Q3,SCOPUS Q4,SCI,ANNEXURE,NON INDEXING,GUIDE LINES OF JOURNAL,EDITOR,CO-EDITOR,ACCEPTANCE RATE,SUBJECT AREA
Abdominal Radiology,2366-004X,Springer,GOLD OA,YES,United States,"Abdominal Radiology publishes clinically relevant original research, reviews, and practiceoriented articles in the field of abdominal medical imaging, including gastrointestinal and genitourinary tract imaging and interventional radiologic procedures, serving the international abdominal radiology community and affiliated societies like the Society of Abdominal Radiology (SAR), European Society of Urogenital Radiology (ESUR), European Society of Gastrointestinal Radiology (ESGAR), and Asian Society of Abdominal Radiology (ASAR).",YES,APC,4500,380000,5.0,2.5,YES,NO,NO,NO,YES,YES,NO,"Manuscripts must be original, unpublished, and not under review elsewhere Follow Springer submission guidelines: structured sections, clear ethics statements, figures/tables in required format Submitted via Springer Editorial Manager",Neeraj Lalwani,-,45%,"Medicine - Radiology, Nuclear Medicine And Imaging"
Abhandlungen Aus Dem Mathematischen Seminar Der Universitat Hamburg,0025-5858,Springer Heidelberg,GOLD OA,YES,Germany,"This is a peerreviewed pure mathematics journal that publishes original research contributions across central areas of mathematics including algebra, complex analysis and geometry, differential geometry, global analysis, graph theory, discrete mathematics, Lie theory, number theory, and topology. It provides a scholarly forum for highquality mathematical research from the community.",YES,APC,4000,330000,180.0,0.3,NO,NO,NO,YES,YES,YES,NO,"Authors must submit original research that has not been published or submitted elsewhere, following Springers online submission and peerreview process. Manuscripts typically use LaTeX for mathematics and must adhere to Springer formatting and ethical standards.",Vicente Corts,Tobias Dyckerhoff,45%,Mathematics - General Mathematics; Pure Mathematics
Academia-Revista Latinoamericana De Administracion,1012-8255,Emerald Group Publishing Ltd,GOLD OA,YES,Colombia,"AcademiaRevista Latinoamericana de Administracin publishes solid theoretical and empirical research on management, including practical regional cases and literature reviews in areas such as finance, accounting, governance, business and society, public management, strategy and marketing, comparative management and culture, organizational theory and behavior, family firms and entrepreneurship, operations and technology. Articles in Spanish or Portuguese are also translated and published in English.",YES,APC,4000,330000,51.0,1.95,NO,YES,NO,NO,YES,YES,NO,Manuscripts must be original and unpublished elsewhere. Submitted via Emeralds online system with required formatting and ethical declarations. Articles should be relevant to management practice and theory. Authors choose open access status at acceptance.,Enrique Ogliastri,Manuel Alonso Dos Santos,19%,"Business, Management And Accounting - Business And International Management; Strategy And Management"
Academic Emergency Medicine,1069-6563,Wiley,GREEN OA,YES,United States,"Academic Emergency Medicine publishes peerreviewed original research, clinical studies, education information, and investigations in emergency medicine, including basic science, clinical practice, policy, diagnostics, therapeutics, and health services research relevant to emergency care",YES,APC,4090,370491,2.0,3.3,YES,NO,NO,NO,YES,YES,NO,"Manuscripts must be original, not previously published or under review elsewhere. Follow detailed Wiley author guidelines and SAEM submission instructions (including structured abstract, article types, ethics).","Jeffrey A. Kline, MD",-,18%,Medicine - Emergency Medicine; Critical Care And Intensive Care Medicine
Academic Pediatrics,1876-2859,Elsevier Science Inc,GOLD OA,YES,United States,"Academic Pediatrics is the official peerreviewed journal of the Academic Pediatric Association that strengthens the research and educational foundations of academic general pediatrics, including pediatric education, child health services, health policy, injury and behavioral pediatrics, emergency medicine, environment, and other core childhealth topics.",YES,APC,3610,327010,108.0,2.8,YES,NO,NO,NO,YES,YES,NO,"Manuscripts must be original, not published elsewhere, and not under review at another journal. Submitted via Elseviers online submission system with detailed formatting, ethical and author guidelines available on the journals site.","Peter G. Szilagyi, MD, MPH","Marie C. McCormick, MD, ScD",23%,"Medicine - Pediatrics, Perinatology And Child Health"
Academic Psychiatry,1042-9670,Springer,GOLD OA,YES,United States,"Academic Psychiatry is the international peerreviewed journal of the American Association of Chairs of Departments of Psychiatry, the American Association of Directors of Psychiatric Residency Training, the Association for Academic Psychiatry, and the Association of Directors of Medical Student Education in Psychiatry. It publishes original, scholarly work in psychiatry and the behavioral sciences that advances knowledge and stimulates evidencebased progress in areas including psychiatric education and training, leadership and administration, career and professional development, ethics and professionalism, and health and wellbeing within academic psychiatry.",YES,APC,3590,300000,60.0,2.5,NO,YES,NO,NO,YES,YES,NO,"Hybrid publication model articles can be published under subscription or open access after payment of APC. SpringerLink Manuscripts must be original, unpublished, and not under review elsewhere. SpringerLink Doubleanonymous peer review is used (authors and reviewers are anonymized). SpringerLink Accepted article types, formatting rules, ethical disclosures, and other detailed author instructions are provided on the Springer submission guidelines page.",Adam M. Brenner,-,56%,Medicine - Psychiatry And Mental Health
Academic Radiology,1076-6332,Elsevier Science Inc,GOLD OA,YES,United States,"Academic Radiology publishes original reports of clinical and laboratory investigations in diagnostic imaging and related technologies, including the use of radioactive isotopes, CT, PET, MRI, ultrasound, digital subtraction angiography, imageguided interventions, and associated techniques. It also includes brief technical reports on new methods, stateoftheart reviews, clinical updates, and radiologic education research.",YES,APC,3510,29100,4.0,3.9,YES,NO,NO,NO,YES,YES,NO,"Manuscripts must be original, unpublished, and not under review elsewhere. Follow Elsevier submission standards, including structured abstracts, ethical approval statements, and conflicts of interest disclosures. Submitted through Elseviers online submission system with detailed author instructions on the journals homepage","Priscilla Slanetz, MD, MPH, FAAR",Brook Simpson,18%,"Medicine - Radiology, Nuclear Medicine And Imaging"
Academy Of Management Annals,1941-6520,"Routledge Journals, Taylor & Francis Ltd",GOLD OA,YES,United States,"Academy of Management Annals publishes uptodate, indepth, integrative reviews of research advances in management and organizational studies, moving beyond simple literature summaries to critically synthesize, interpret, and challenge existing knowledge while suggesting future research directions in areas such as business, organizational behavior, human resource management, and related fields.",YES,NO APC,0,0,42.0,16.5,YES,NO,NO,NO,YES,YES,NO,"Manuscripts begin with a brief proposal (not a full article). Proposals are reviewed after submission deadlines and, if accepted, authors are invited to submit full manuscripts. Submissions are made via the Manuscript Central system. No submission fees are charged; rigorous peer review follows",Matthew A. Cronin,Elizabeth George,27%,"Business, Management And Accounting - General Business, Management And Accounting; Strategy And Management"
Academy Of Management Journal,0001-4273,Acad Management,GREEN OA,YES,United States,"The Academy of Management Journal publishes highquality empirical research that tests, extends, or builds management theory and contributes to management practice across organizational behavior, strategy, human resource management, entrepreneurship, and related disciplines. The research must show strong theoretical contribution and empirical rigor relevant for the management community.",NO,NO APC,0,0,75.0,13.8,YES,NO,NO,NO,YES,YES,NO,"Manuscripts must be original, unpublished elsewhere, and not under review. Empirical research must demonstrate strong theoretical value and relevance. Submission via ScholarOne Manuscripts with APAstyle formatting and ethical disclosures",Quinetta Roberson,-,8%,"Business, Management And Accounting - Organizational Behavior And Human Resource Management; Strategy And Management; Business And International Management"
Academy Of Management Learningd & Education,1537-260X,Acad Management,GOLD OA,YES,United States,"Academy of Management Learning & Education aims to advance understanding of management learning and education by publishing rigorous theoretical, empirical, and review research that addresses how people learn, teach, and administer education in business and organizational settings, including universities, companies, and public/nonprofit organizations. The journal covers topics such as management teaching, curricula, program evaluation, and issues affecting the institutional environment of business schools and stakeholder",YES,NO APC,0,0,91.0,6,YES,NO,NO,NO,YES,YES,NO,"Academy of Management Learning & Education (AMLE) publishes scholarly work on management learning and education, including empirical research, conceptual papers, reviews, essays, dialogues, and book/resource reviews that contribute to theoretical debate and practice. Submissions must be original and not under review elsewhere, and should follow AOMs style and ethical standards.",Paul Hibbert,-,2%,"Business, Management And Accounting - Organizational Behavior And Human Resource Management; Strategy And Management"
Academy Of Management Review,0363-7425,Acad Management,GOLD OA,YES,Acad Management,"Academy of Management Review publishes theoretical insights that advance understanding of management and organizations, emphasizing the development, extension, or critical evaluation of formal theory. Submissions aim to create novel conceptual contributions, challenge existing assumptions, or synthesize ideas into new theoretical frameworks in business and organizational studies",YES,APC,3500,290500,135.0,19.3,YES,NO,NO,NO,YES,YES,NO,"Manuscripts submitted to Academy of Management Review must be original, unpublished, and not under review elsewhere, and they must extend theory in ways that develop testable, novel, or significantly advanced conceptual contributions. The journal publishes theoretical articles, review essays, and dialogues that contribute to management and organization theory. Manuscripts are submitted online via the ScholarOne Manuscripts system, prepared according to the AOM Style Guide for Authors with all identifying information removed for doubleblind review. Work must not be posted publicly during review, and authors should be willing to participate in peer review when asked. Review Essays and Dialogues have specific length and content requirements (e.g., about 25-30 doublespaced pages for full articles).",Kris Byron,Irina Burns,8%,"Business, Management And Accounting - Strategy And Management"
Acarologia,0044-586X,Acarologia-Universite Paul Valery,DIAMOND OA,NO,France,"Acarologia publishes original research and reviews on all aspects of acarology (the study of mites and ticks), including taxonomy, molecular biology, ecology, evolution, physiology, behaviour, biogeography, genetics, morphology, and applied studies (e.g., plant parasites, biological control, veterinary aspects). It also accepts short notes and long reviews relevant to the discipline.",NO,NO APC,0,0,135.0,1,YES,NO,NO,NO,YES,YES,NO,"Original research, reviews, and short notes in acarology are accepted. Manuscripts should comply with formatting (typed, doublespaced, English). Taxonomic papers should ideally include multiple species descriptions unless scientifically justified. Manuscripts not meeting format requirements are rejected without review. Editors may accept PCI recommendations without further review if criteria are met",Serge Kreite,-,1%,Agricultural And Biological Sciences - Insect Science
Accident Analysis And Prevention,0001-4575,Pergamon-Elsevier Science Ltd,GOLD OA,YES,England,"Accident Analysis & Prevention publishes research on accidental injury and damage, covering the preinjury and immediate postinjury phases, and includes medical, legal, economic, educational, behavioral, theoretical, and empirical aspects of transportation and other accidents.",YES,APC,3940,327000,17.0,6.9,YES,NO,NO,NO,YES,YES,NO,"Manuscripts must be original, unpublished, and not under review elsewhere. Authors should follow Elseviers submission guidelines (structured abstract, ethics statements, conflicts of interest). Submission through Elseviers Editorial System with required formatting and referencing. (Elsevier author instructions apply)",Helai Huang,-,13%,"Medicine - Public Health, Environmental And Occupational Health; Transportation"
Accounting Horizons,0888 7993,Amer Accounting Assoc,GREEN OA,YES,United States,"Accounting Horizons publishes rigorous academic research and thoughtprovoking perspectives that bridge theory and practice in accounting. It covers broad topics such as financial reporting, corporate governance, assurance services, accounting information systems, data analytics, enterprise risk management, diversity and inclusion in accounting, sustainability, taxation, and regulatory developments. The journal welcomes original research as well as commentaries and perspectives that are relevant to both academics and practitioners",YES,APC,3940,327000,62.0,2.2,YES,NO,NO,NO,YES,YES,NO,"Manuscripts must be original, unpublished, and not under review elsewhere. Accounts should be clear and accessible, with relevance to accounting practice and research. Submitted online through the AAA submission system with standard academic formatting and ethical declarations. Rapid review process with expedited consideration for especially timely topics.",Daniel Aobdia,John M. Barrios,18%,"Business, Management And Accounting - Accounting"
Accounting Organizations And Society,0361-3682,Pergamon-Elsevier Science Ltd,GOLD OA,YES,England,"AOS is an international interdisciplinary journal focusing on the *relationships among accounting, human behavior, organizational and institutional processes, and the sociopolitical environment of enterprises, publishing highquality conceptual and empirical research in accounting, organizational studies, information systems, applied psychology, and related fields",YES,APC,3840,327000,5.0,4,YES,NO,NO,NO,YES,YES,NO,"Manuscripts must be original, unpublished, and not under review elsewhere (follow Elsevier/ScienceDirect author guidelines). Submission via Elseviers online system (Editorial Manager/Elsevier) with structured formatting, abstracts, keywords, references, ethical statements, etc",Marcia Annisette,"Martin Messner, HunTong Tan",20%,"Business, Management And Accounting - Accounting; Organizational Behavior And Human Resource Management"
Accounting Review,0001-4826,Amer Accounting Assoc,GOLD OA,YES,United States,"The Accounting Review publishes rigorous scholarly research in all areas of accounting, including financial accounting, management accounting, auditing, taxation, accounting information systems, and related methodologies, with emphasis on advancing knowledge and informing practice and regulation across disciplines",YES,APC,3000,249000,120.0,6.8,YES,NO,NO,NO,YES,YES,NO,"The Accounting Review requires authors to prepare and submit original research manuscripts that have not been submitted elsewhere and meet high standards of rigor, significance, and contribution to accounting research. Manuscripts are submitted through the Editorial Manager system with a separate title page to ensure anonymity, and authors must provide valid ORCID IDs and complete a conflict of interest (COI) disclosure form upon submission. A nonrefundable submission fee is required ($270 for AAA members, $645 for nonmembers). The journal uses a doubleblind peer review process where the senior editor first assesses format and fit, then sends appropriate manuscripts to at least two independent reviewers, with revisions and editorial decisions continuing until final acceptance. Authors must also disclose any potential conflicts of interest, follow ethical guidelines, and adhere to requirements related to survey/experimental reporting and human subjects protections.",Kathryn Kadous,Nerissa C. Brown,8%,"Business, Management And Accounting - Accounting"
Accounts Of Chemical Research,0001-4842,Amer Chemical Soc,GOLD OA,YES,United States,"Accounts of Chemical Research publishes concise, authoritative accounts of fundamental research developments in chemistry, biochemistry, materials science, nanoscience, and related interdisciplinary fields. It emphasizes overview articles (Conspectus) that summarize current research trends and provide insight for specialists and nonspecialists alike. Most articles are solicited by invitation, though unsolicited proposals are considered",YES,APC,4000,332000,75.0,19.9,YES,NO,NO,NO,YES,YES,NO,"Manuscripts (often Conspectus articles) are usually solicited by the Editor, though unsolicited proposals may be submitted for consideration. Manuscript preparation guidelines (format, structure, lengths) and ethical policies are available in the ACS Author Guidelines (ACS Researcher Resources",Cynthia J. Burrows,Christopher J. Chang,64%,Chemistry - Analytical Chemistry; Physical And Theoretical Chemistry
Accreditation And Quality Assurance,0949-1775,Springer,GREEN OA,YES,Germany,"The journal focuses on quality assurance, accreditation, and metrology across diverse disciplines including analytical chemistry, safety, reliability and quality systems, instrumentation, chemical engineering, and related measurement science topics. It serves researchers, practitioners, and decisionmakers concerned with quality, traceability, uncertainty, and compliance in laboratory settings and standards implementation.",YES,APC,4000,332000,70.0,1,NO,NO,YES,NO,YES,YES,NO,"Manuscripts must be original, unpublished, and not under review elsewhere. Submitted via Springers online editorial system. Follow Springer formatting, ethical requirements, and peerreview standards.",Stephen L.R. Ellison,Hongmei Li,30%,Chemistry - Analytical Chemistry
Aci Materials Journal,0889-325X,Amer Concrete Inst,GREEN OA,YES,United States,"ACI Materials Journal publishes peerreviewed research on materials in concrete and construction, including material properties, durability, performance of concrete and related materials, and testing/characterization relevant to civil engineering and structural applications",NO,APC,4000,332000,270.0,1.8,YES,NO,NO,NO,YES,YES,NO,"Manuscripts must be original, unpublished, and within ACIs scope. Submit via Manuscript Central / ScholarOne. English language, correct spelling, grammar, and formatting. Based on ACI Publication Policy.",Shiho Kawashima,Liberato Ferrara,35%,Engineering - Civil And Structural Engineering; Building And Construction
Aci Structural Journal,0889-3241,Amer Concrete Inst,GREEN OA,YES,United States,"ACI Structural Journal publishes peerreviewed research and technical papers related to structural concrete design, analysis of concrete elements and systems, and theory and practice of reinforced and prestressed concrete structures. The journal features structural research that advances knowledge for design and practice in structural and civil engineering",NO,NO APC,0,0,94.0,1.8,NO,YES,NO,NO,YES,YES,NO,"Manuscripts must be original and unpublished elsewhere. Submit via Manuscript Central (ScholarOne) (ACI structural engineering editorial system). ACI Foundation Follow ACIs instructions for formatting, figures/tables, citations, and technical review. Peer review is conducted by structural and concrete research experts",Michael Kreger,Robert Barnes,10%,Engineering - Civil And Structural Engineering; Building And Construction
Acm Computing Surveys,0360-0300,Assoc Computing Machinery,DIAMOND OA,NO,United States,"ACM Computing Surveys publishes comprehensive survey and tutorial articles that summarize and analyze broad areas of computer science and computing research highlighting developments, trends, and challenges across theory, methods, systems, and applications. It is widely regarded as a top survey journal in computing",NO,APC,1800,163050,135.0,26.3,YES,NO,NO,NO,YES,YES,NO,"Manuscripts (surveys/tutorials) must be original, comprehensive, and thoughtfully scoped for a broad audience in computing. Submitted through ACMs manuscript submission system with full citation, structured survey organization, and often with editorial preapproval. ACM has strict peer review and editorial standards typical of top journals.",Albert Y. Zomaya,Hanghang Tong,15%,Computer Science - General Computer Science; Computer Science (Miscellaneous)
Acm Sigcomm Computer Communication Review,0146-4833,Assoc Computing Machinery,GOLD OA,YES,United States,"ACM SIGCOMM Computer Communication Review (CCR) is the online magazine and peerreviewed publication of ACM SIGCOMM that publishes technical papers, educational papers, and editorial notes on computer communications and networking. It serves as a forum for novel ideas and emerging research within SIGCOMMs field of interest, emphasizing timely innovation, practical advances, feasibility studies, and readability to foster further investigations in networking systems and communications",NO,APC,1800,149400,75.0,1.9,NO,YES,NO,NO,YES,YES,NO,"Submission types: Short technical papers (strict page limit) Repeatable technical papers (with artefacts: data/software) Education papers Editorial notes CCR Online Review criteria: Innovation, timeliness, technical integrity and readability. CCR Online Strict submission guidelines (e.g., 6 pages for short papers, artefact criteria for repeatable papers).",Steve Uhlig,"Gianni Antichi (Queen Mary University of London, UK) Olivier Bonaventure (Universit catholique de Louvain, Belgium) Joseph Camp (SMU, USA) Matthew Caesar (UIUC, USA)",15%,Computer Science - Computer Networks And Communications
Acm Transactions On Algorithms,1549-6325,Assoc Computing Machinery,GOLD OA,YES,United States,"The journal publishes original, highquality research on algorithms that are inherently discrete and finite, emphasizing rigorous analysis, mathematical content, and innovations in algorithm design, data structures, complexity results, and related theory and applications (e.g., combinatorial searches, optimization, randomization, parallel and distributed computation)",YES,APC,1800,150000,150.0,1.8,YES,NO,NO,NO,YES,YES,NO,"Manuscripts must be original, unpublished, and not under review elsewhere. Submit quarterly via the ACM Digital Library submission system following ACMs author templates (singlecolumn format for review, then ACM style after acceptance). Authors must follow ACMs submission templates (Word/LaTeX) and ethical guidelines.",Edith Cohen,Steve Uhlig,14%,Computer Science - Computational Theory And Mathematics; Software
Acm Transactions On Architecture And Code Optimization,1544-3566,Assoc Computing Machinery,GOLD OA,YES,United States,"Research in computer architecture and code optimization hardware/software interaction, compilers, systems",YES,APC,1800,150000,270.0,1.5,NO,YES,NO,NO,YES,YES,NO,Original work via ACM Digital Library system.,David Kaeli,Per Stenstrm,26%,Computer Science - Hardware And Architecture
Acm Transactions On Asian And Low-Resource Language Information Processing,2375-4699,Assoc Computing Machinery,GOLD OA,YES,United States,"Language processing for Asian and lowresource languages (NLP, computational linguistics).",YES,APC,1800,108000,270.0,6.7,NO,YES,NO,NO,YES,YES,NO,Original research with standard ACM formatting.,Imed Zitouni,Arriane Bustillo,45%,Computer Science - Artificial Intelligence; Language And Linguistics
Acm Transactions On Computational Logic,1529-3785,Assoc Computing Machinery,GOLD OA,YES,United States,Computational and logic aspects of computer science.,YES,APC,1800,150000,270.0,0.6,NO,YES,NO,NO,YES,YES,NO,"Submitted manuscripts should not be published or simultaneously submitted to another journal or to a conference. Full (extended) versions of important, published, conference papers are welcome. Upon acceptance of an article by the journal, the author(s) will be asked to transfer copyright of the article to the ACM. Submissions longer than 45 pages in the ACM style file format are discouraged due to the strain on the TOCL reviewer pool. To ensure timely processing of the submissions, whenever a paper needs to be revised, the authors will be asked to prepare the revised version within six months of receiving the reviews. Many latex systems generate pdf files that are not properly handled by our document tracking system (ManuscriptCentral). Prior to submitting your pdf files, please follow the instructions for distilling pdf files into forms appropriate for ManuscriptCentral.",Anuj Dawar,Erika brahm,17%,Computer Science - Computational Theory And Mathematics
Acm Transactions On Embedded Computing Systems,1539-9087,Assoc Computing Machinery,GOLD OA,YES,United States,"The design of embedded computing systems, both the software and hardware, increasingly relies on sophisticated algorithms, analytical models, and methodologies. ACM Transactions on Embedded Computing Systems (TECS) aims to present the leading work relating to the analysis, design, behavior, and experience with embedded computing systems",YES,APC,1800,150000,60.0,2.6,NO,YES,NO,NO,YES,YES,NO,"Manuscripts must be original, unpublished, and not under review elsewhere. Submitted via ACMs manuscript submission system with ACM style formatting. Standard peer review (rigorous, multireviewer) ensures high quality. Detailed instructions available on the ACM TECS homepage (ACM Digital Library). (ACM submission portal gives specific format requirements.)",Tulika Mitra,Jian-Jia Chen,28%,Computer Science - Hardware And Architecture; Embedded Systems
